,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7524068355560303,0.11515010840687641,0.09543927510579427,0.03251545506395053,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.5664335664335665,0.5517241379310345,0.5195402298850574,0.5458993114165528,0.019582180779232083,13
1,1.2086261908213298,0.2770956435375035,0.032488505045572914,0.04594568445667595,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.5638051044083526,,,,,14
2,5.026770989100139,0.25805530635689916,0.35553304354349774,0.2767911397138387,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.5568445475638051,0.5655644241733181,,,,14
3,2.2543985843658447,1.4656631084741412,0.05198343594868978,0.043997532876220866,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.5942028985507246,0.5977482088024565,,,,14
4,1.932921330134074,1.1862199983791681,0.0,0.0,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,14
5,2.8848564624786377,0.583511600504792,0.1263582706451416,0.09186633914250558,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",,0.6194331983805668,0.5864509605662285,,,14
6,0.32047319412231445,0.025860892846322,0.032097816467285156,0.0009560800448469504,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.6377952755905512,0.6349206349206349,0.6148919135308246,0.6292026080140035,0.010187013700080778,10
7,0.5918702284495035,0.007323278292687498,0.05938434600830078,0.005272388512158659,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.6337702390131071,0.640625,0.6144101346001584,0.629601791204422,0.011100653429213181,6
8,1.4833461443583171,0.438944609209251,0.10799129803975423,0.005412071995132916,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.6320681642137878,0.641185647425897,0.6208530805687204,0.6313689640694684,0.008315446645921548,3
9,0.602977991104126,0.36926987878184475,0.04507859547932943,0.006736780156627523,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.6374314800313234,0.6357827476038339,0.6152610441767068,0.6294917572706213,0.01008512026123463,8
10,0.6622244517008463,0.013046484157445713,0.06499401728312175,0.00660484715373916,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6332046332046332,0.640625,0.6173428798727129,0.6303908376924486,0.009710899831071249,5
11,1.18144957224528,0.011001403579913603,0.10784029960632324,0.004405976171789326,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.635166537567777,0.6395621579358874,0.6208530805687204,0.6318605920241284,0.007987671789945599,1
12,0.4382828076680501,0.01689506981298369,0.05074294408162435,0.006641025486799754,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.6368613138686131,0.6352313167259787,0.604355716878403,0.6254827824909982,0.014953904701235034,12
13,0.9275587399800619,0.048291908840300046,0.09886256853739421,0.026041273737737958,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.6380697050938338,0.6384892086330936,0.6115107913669064,0.6293565683646113,0.012620032046808765,9
14,1.7017659346262615,0.043893860929244015,0.15375844637552896,0.005013422650062198,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.6387900355871886,0.6361185983827493,0.6124661246612466,0.6291249195437282,0.01182992615887806,11
15,0.4420464833577474,0.003467822934460458,0.13213062286376953,0.12013875899881751,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.6357969723953696,0.6382222222222222,0.6146953405017921,0.6295715117064613,0.010565535527163605,7
16,2.262521425882975,0.8224137083217956,0.10060660044352214,0.01156464449189274,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6314863676341249,0.6431718061674009,0.6178571428571429,0.6308384388862228,0.01034481845739528,4
17,1.7960882981618245,0.11653417980463596,0.14408206939697266,0.03284152979515795,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.6397188049209139,0.641409691629956,0.6133333333333333,0.6314872766280678,0.012855323600932264,2
